"Song title","Coefficient","Std. Error","t value","Pr(>|t|)"
"Blue Spring Express[A]","1.0419496531408","0.372013216138882","2.80084042162581","0.0187674707198989"
"Boomy and The Boost[A]","0.801647898135069","0.278889014461453","2.87443340026528","0.0165425735361975"
"Broken Sword[A]","1.11689952448039","0.40732095574783","2.74206251536897","0.0207591324048274"
"Broken[A]","0.963280849549085","0.339855533629042","2.83438330181942","0.0177182219928979"
"Candy Galy[A]","0.784215838796083","0.274737743674658","2.85441609990342","0.0171199883427248"
"Carmina[A]","0.858788878775187","0.297900678121277","2.88280269850735","0.0163070237560096"
"Carry Me Away[A]","1.01358716349453","0.366236581573358","2.76757488053253","0.0198698178553305"
"Catch Our Fire_e_[A]","0.731861459673979","0.263367080644636","2.77886460936052","0.0194885881617092"
"Caterpillar[A]","0.772015324720399","0.269460350945982","2.86504237825758","0.0168109748245889"
"CHRONO DIVER -NORNIR-[L]","1.00029391227442","0.36269552876918","2.75794387559436","0.0202009525235547"
"Chrono Diver -PENDULUMs-[A]","1.00534696503835","0.354644014527189","2.83480595711923","0.0177053851622289"
"cinder[A]","1.02390937147796","0.385342591762969","2.65714040795103","0.0240168851361299"
"Close the World feat.a☆ru[L]","0.90767944688603","0.324715813573707","2.7953041057546","0.0189465711874376"
"CODE_c_1 [revision1.0.1][A]","0.784070791597855","0.275250839714094","2.84856820931874","0.0172924851170573"
"Colorful Cookie[A]","0.979055962218455","0.340036095011806","2.87927069090845","0.0164060142000296"
"Colors (radio edit)[A]","0.877777656252549","0.302712452552703","2.89970778820116","0.0158415263633301"
"Concertino in Blue[A]","0.792602795243477","0.281289514801522","2.81774738671912","0.0182310077511545"
"Confiserie[A]","0.943579237015758","0.33077386501554","2.85264144726618","0.0171721514238011"
"CONTRACT[L]","0.642057484319438","0.225387501803143","2.84868273166372","0.0172890902415272"
"Cosmic Cat[L]","0.844352491079575","0.311036465102248","2.71464148360228","0.0217595539190564"
"COSMIC RAY[A]","0.926186757781684","0.360982768845638","2.56573675453671","0.0280953667007884"
"Dances with Snow Fairies[A]","0.866561477870897","0.301075629549582","2.87821860297128","0.016435617956667"
